,area,city code,use internet at home,year of interview,household type,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
0,0,0,2,2019,7,1,1,34,2,1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
1,0,0,1,2019,1,2,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
2,0,0,1,2019,1,2,5,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
3,16580,0,1,2019,1,2,5,39,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,17,0
4,16580,0,1,2019,1,2,1,39,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,-1,17,0
5,16580,0,1,2019,1,2,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,17,0
6,16580,0,1,2019,1,2,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,-1,17,0
7,0,0,1,2019,1,8,7,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
8,0,0,1,2019,1,8,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
9,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
10,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
11,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
12,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
13,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
14,0,0,1,2019,1,8,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
15,0,0,1,2019,4,4,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
16,0,0,1,2019,4,4,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,1,17,0
17,0,0,1,2019,4,4,1,36,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
18,0,0,1,2019,4,4,7,35,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
19,0,0,1,2019,1,3,4,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
20,0,0,1,2019,1,3,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
21,0,0,1,2019,1,3,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
22,16980,0,1,2019,1,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
23,16980,0,1,2019,1,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,1,17,0
24,16980,0,1,2019,1,3,7,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
25,16980,0,1,2019,4,4,1,39,1,1,2,2,1,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
26,16980,0,1,2019,4,4,1,39,1,1,2,2,1,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
27,16980,0,1,2019,4,4,-1,-1,1,1,2,2,1,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
28,16980,0,1,2019,4,4,-1,-1,1,1,2,2,1,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
29,16980,0,2,2019,1,4,1,46,2,1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
30,16980,0,2,2019,1,4,1,46,2,1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,2,-1,17,0
31,16980,1,1,2019,7,3,7,43,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,1,17,0
32,16980,1,1,2019,7,3,7,43,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
33,16980,1,1,2019,7,3,1,44,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
34,16980,1,1,2019,7,2,2,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
35,16980,1,1,2019,7,2,3,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,1,17,0
36,16980,1,1,2019,6,1,1,39,2,2,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
37,16980,0,1,2019,7,1,7,43,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,1,17,0
38,16980,1,1,2019,1,4,1,41,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,1,2,-1,2,17,0
39,16980,1,1,2019,1,4,1,41,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,17,0
40,16980,1,1,2019,1,4,1,43,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,17,0
41,16980,1,1,2019,1,4,7,38,2,4,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,17,0
42,16980,0,1,2019,1,3,7,39,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
